*****************************
Basic coeficients
*****************************
Alpha, Cd
   3.000    ,    .1570E-02,    .3838E-03,   -.9784E-04,   -.6593E-04,    .7763E-06,    .8911E-04,    .6773E-03,    .1934E-02,    .3966E-02
   4.000    ,    .1180E-02,    .1313E-03,   -.2241E-03,   -.9118E-04,    .1029E-05,    .1144E-03,    .8036E-03,    .2187E-02,    .4357E-02
   5.000    ,    .7887E-03,   -.1219E-03,   -.3507E-03,   -.1165E-03,    .1282E-05,    .1397E-03,    .9302E-03,    .2440E-02,    .4748E-02
   6.000    ,    .3955E-03,   -.3763E-03,   -.4779E-03,   -.1419E-03,    .1537E-05,    .1651E-03,    .1057E-02,    .2694E-02,    .5141E-02
   7.000    ,   -.4181E-06,   -.6325E-03,   -.6060E-03,   -.1676E-03,    .1793E-05,    .1907E-03,    .1185E-02,    .2950E-02,    .5537E-02
   8.000    ,   -.3998E-03,   -.8909E-03,   -.7352E-03,   -.1934E-03,    .2051E-05,    .2166E-03,    .1315E-02,    .3209E-02,    .5936E-02
   9.000    ,   -.8035E-03,   -.1152E-02,   -.8658E-03,   -.2195E-03,    .2312E-05,    .2427E-03,    .1445E-02,    .3470E-02,    .6340E-02
   10.00    ,   -.1223E-02,   -.1423E-02,   -.1001E-02,   -.2466E-03,    .2583E-05,    .2698E-03,    .1581E-02,    .3741E-02,    .6759E-02
   12.00    ,   -.2147E-02,   -.2022E-02,   -.1301E-02,   -.3065E-03,    .3182E-05,    .3296E-03,    .1880E-02,    .4340E-02,    .7684E-02
   14.00    ,   -.3224E-02,   -.2718E-02,   -.1649E-02,   -.3761E-03,    .3878E-05,    .3993E-03,    .2228E-02,    .5036E-02,    .8760E-02
   16.00    ,   -.4395E-02,   -.3476E-02,   -.2028E-02,   -.4519E-03,    .4636E-05,    .4751E-03,    .2607E-02,    .5794E-02,    .9931E-02
   18.00    ,   -.5760E-02,   -.4359E-02,   -.2469E-02,   -.5403E-03,    .5522E-05,    .5634E-03,    .3049E-02,    .6677E-02,    .1130E-01
   19.00    ,   -.6618E-02,   -.4914E-02,   -.2747E-02,   -.5957E-03,    .6076E-05,    .6189E-03,    .3326E-02,    .7232E-02,    .1215E-01
   20.00    ,   -.7643E-02,   -.5577E-02,   -.3078E-02,   -.6620E-03,    .6739E-05,    .6852E-03,    .3658E-02,    .7895E-02,    .1318E-01
   25.00    ,   -.1481E-01,   -.1021E-01,   -.5397E-02,   -.1126E-02,    .1137E-04,    .1149E-02,    .5976E-02,    .1253E-01,    .2034E-01

DeltaElev, CL_Elev
  -20.00    ,   -.9240E-01
  -10.00    ,   -.5976E-01
  -5.000    ,   -.2988E-01
  -1.000    ,   -.5976E-02
    .000    ,    .5976E-04
   1.000    ,    .5976E-02
   5.000    ,    .2988E-01
   10.00    ,    .5976E-01
   20.00    ,    .9240E-01

DeltaElev, Cm_Elev
  -20.00    ,    .2636    
  -10.00    ,    .1695    
  -5.000    ,    .8473E-01
  -1.000    ,    .1695E-01
    .000    ,   -.1695E-03
   1.000    ,   -.1695E-01
   5.000    ,   -.8473E-01
   10.00    ,   -.1695    
   20.00    ,   -.2638    

DeltaElev, CLa_Elev
  -20.00    ,     .000    
  -10.00    ,     .000    
  -5.000    ,     .000    
  -1.000    ,     .000    
    .000    ,     .000    
   1.000    ,     .000    
   5.000    ,     .000    
   10.00    ,     .000    
   20.00    ,     .000    

DeltaElev, Cha_Elev
  -20.00    ,   -.7375E-02
  -10.00    ,   -.7375E-02
  -5.000    ,   -.7375E-02
  -1.000    ,   -.7375E-02
    .000    ,   -.7375E-02
   1.000    ,   -.7375E-02
   5.000    ,   -.7375E-02
   10.00    ,   -.7375E-02
   20.00    ,   -.7375E-02

DeltaElev, Chd_Elev
  -20.00    ,   -.1585E-01
  -10.00    ,   -.1531E-01
  -5.000    ,   -.1531E-01
  -1.000    ,   -.1531E-01
    .000    ,   -.1531E-01
   1.000    ,   -.1531E-01
   5.000    ,   -.1531E-01
   10.00    ,   -.1531E-01
   20.00    ,   -.1585E-01



